t,Actual,Eulerian,Midpoint,Rk4,Heun,dxdt,function
0.0,0.00000,0.00000,0.00000,0.00000,0.00000,dx/dt = 2*t*cos(t*t),sin(t*t)
0.1,0.01000,0.00000,0.01000,0.01000,0.01000,dx/dt = 2*t*cos(t*t),sin(t*t)
0.2,0.03999,0.02000,0.03999,0.03999,0.03998,dx/dt = 2*t*cos(t*t),sin(t*t)
0.3,0.08988,0.05997,0.08989,0.08988,0.08985,dx/dt = 2*t*cos(t*t),sin(t*t)
0.4,0.15932,0.11972,0.15937,0.15932,0.15921,dx/dt = 2*t*cos(t*t),sin(t*t)
0.5,0.24740,0.19870,0.24753,0.24740,0.24715,dx/dt = 2*t*cos(t*t),sin(t*t)
0.6,0.35227,0.29559,0.35254,0.35227,0.35175,dx/dt = 2*t*cos(t*t),sin(t*t)
0.7,0.47063,0.40790,0.47111,0.47063,0.46966,dx/dt = 2*t*cos(t*t),sin(t*t)
0.8,0.59720,0.53143,0.59799,0.59719,0.59560,dx/dt = 2*t*cos(t*t),sin(t*t)
0.90000004,0.72429,0.65976,0.72552,0.72429,0.72182,dx/dt = 2*t*cos(t*t),sin(t*t)
1.0,0.84147,0.78387,0.84325,0.84147,0.83790,dx/dt = 2*t*cos(t*t),sin(t*t)
1.1,0.93562,0.89193,0.93804,0.93562,0.93077,dx/dt = 2*t*cos(t*t),sin(t*t)
1.2,0.99146,0.96960,0.99456,0.99146,0.98525,dx/dt = 2*t*cos(t*t),sin(t*t)
1.3000001,0.99290,1.00090,0.99664,0.99290,0.98544,dx/dt = 2*t*cos(t*t),sin(t*t)
1.4,0.92521,0.96998,0.92939,0.92521,0.91686,dx/dt = 2*t*cos(t*t),sin(t*t)
1.5,0.77807,0.86373,0.78236,0.77808,0.76951,dx/dt = 2*t*cos(t*t),sin(t*t)
1.6,0.54935,0.67528,0.55325,0.54936,0.54159,dx/dt = 2*t*cos(t*t),sin(t*t)
1.7,0.24895,0.40789,0.25181,0.24895,0.24324,dx/dt = 2*t*cos(t*t),sin(t*t)
1.8000001,-0.09825,0.07860,-0.09710,-0.09824,-0.10053,dx/dt = 2*t*cos(t*t),sin(t*t)
1.9,-0.45147,-0.27966,-0.45260,-0.45146,-0.44920,dx/dt = 2*t*cos(t*t),sin(t*t)
2.0,-0.75680,-0.61873,-0.76048,-0.75681,-0.74946,dx/dt = 2*t*cos(t*t),sin(t*t)
2.1000001,-0.95463,-0.88019,-0.96059,-0.95464,-0.94273,dx/dt = 2*t*cos(t*t),sin(t*t)
2.2,-0.99187,-1.00527,-0.99919,-0.99188,-0.97727,dx/dt = 2*t*cos(t*t),sin(t*t)
2.3,-0.83777,-0.94927,-0.84484,-0.83779,-0.82368,dx/dt = 2*t*cos(t*t),sin(t*t)
2.4,-0.49964,-0.69810,-0.50439,-0.49966,-0.49020,dx/dt = 2*t*cos(t*t),sin(t*t)
2.5,-0.03318,-0.28231,-0.03356,-0.03319,-0.03244,dx/dt = 2*t*cos(t*t),sin(t*t)
2.6000001,0.45895,0.21742,0.46422,0.45895,0.44842,dx/dt = 2*t*cos(t*t),sin(t*t)
2.7,0.84513,0.67942,0.85585,0.84515,0.82375,dx/dt = 2*t*cos(t*t),sin(t*t)
2.8,0.99990,0.96808,1.01391,0.99994,0.97199,dx/dt = 2*t*cos(t*t),sin(t*t)
2.9,0.84937,0.97591,0.86269,0.84941,0.82285,dx/dt = 2*t*cos(t*t),sin(t*t)
3.0,0.41212,0.66978,0.42001,0.41216,0.39644,dx/dt = 2*t*cos(t*t),sin(t*t)
3.1000001,-0.18416,0.12311,-0.18543,-0.18415,-0.18159,dx/dt = 2*t*cos(t*t),sin(t*t)
3.2,-0.72787,-0.48629,-0.73900,-0.72790,-0.70572,dx/dt = 2*t*cos(t*t),sin(t*t)
3.3,-0.99443,-0.92514,-1.01178,-0.99450,-0.95992,dx/dt = 2*t*cos(t*t),sin(t*t)
3.4,-0.84490,-0.99470,-0.86105,-0.84497,-0.81282,dx/dt = 2*t*cos(t*t),sin(t*t)
3.5,-0.31113,-0.63095,-0.31760,-0.31117,-0.29832,dx/dt = 2*t*cos(t*t),sin(t*t)
3.6000001,0.38353,0.03431,0.39194,0.38355,0.36678,dx/dt = 2*t*cos(t*t),sin(t*t)
3.7,0.90167,0.69925,0.92302,0.90176,0.85924,dx/dt = 2*t*cos(t*t),sin(t*t)
3.8,0.95450,1.01924,0.97897,0.95462,0.90592,dx/dt = 2*t*cos(t*t),sin(t*t)
3.9,0.47765,0.79260,0.49162,0.47773,0.44996,dx/dt = 2*t*cos(t*t),sin(t*t)
