t,Actual,Eulerian,Midpoint,Rk4,Heun,dxdt,function
0.0,0.00000,0.00000,0.00000,0.00000,0.00000,dx/dt = t*t*t,pow(t,4)/4
0.2,0.00040,0.00000,0.00020,0.00040,0.00080,dx/dt = t*t*t,pow(t,4)/4
0.4,0.00640,0.00160,0.00560,0.00640,0.00800,dx/dt = t*t*t,pow(t,4)/4
0.6,0.03240,0.01440,0.03060,0.03240,0.03600,dx/dt = t*t*t,pow(t,4)/4
0.8,0.10240,0.05760,0.09920,0.10240,0.10880,dx/dt = t*t*t,pow(t,4)/4
1.0,0.25000,0.16000,0.24500,0.25000,0.26000,dx/dt = t*t*t,pow(t,4)/4
1.2,0.51840,0.36000,0.51120,0.51840,0.53280,dx/dt = t*t*t,pow(t,4)/4
1.4,0.96040,0.70560,0.95060,0.96040,0.98000,dx/dt = t*t*t,pow(t,4)/4
1.6,1.63840,1.25440,1.62560,1.63840,1.66400,dx/dt = t*t*t,pow(t,4)/4
1.8000001,2.62440,2.07360,2.60820,2.62440,2.65680,dx/dt = t*t*t,pow(t,4)/4
2.0,4.00000,3.24000,3.98000,4.00000,4.04000,dx/dt = t*t*t,pow(t,4)/4
2.2,5.85640,4.84000,5.83220,5.85640,5.90480,dx/dt = t*t*t,pow(t,4)/4
2.4,8.29440,6.96960,8.26560,8.29440,8.35200,dx/dt = t*t*t,pow(t,4)/4
2.6000001,11.42441,9.73440,11.39060,11.42440,11.49200,dx/dt = t*t*t,pow(t,4)/4
2.8,15.36641,13.24960,15.32720,15.36641,15.44481,dx/dt = t*t*t,pow(t,4)/4
3.0,20.25001,17.64001,20.20501,20.25001,20.34001,dx/dt = t*t*t,pow(t,4)/4
3.2,26.21442,23.04001,26.16321,26.21441,26.31681,dx/dt = t*t*t,pow(t,4)/4
3.4,33.40842,29.59361,33.35061,33.40841,33.52401,dx/dt = t*t*t,pow(t,4)/4
3.6000001,41.99043,37.45442,41.92562,41.99042,42.12002,dx/dt = t*t*t,pow(t,4)/4
3.8,52.12844,46.78562,52.05622,52.12842,52.27282,dx/dt = t*t*t,pow(t,4)/4
4.0,64.00003,57.76003,63.92003,64.00003,64.16003,dx/dt = t*t*t,pow(t,4)/4
4.2000003,77.79242,70.56004,77.70423,77.79243,77.96883,dx/dt = t*t*t,pow(t,4)/4
4.4,93.70241,85.37764,93.60564,93.70244,93.89603,dx/dt = t*t*t,pow(t,4)/4
4.6,111.93639,102.41444,111.83064,111.93644,112.14803,dx/dt = t*t*t,pow(t,4)/4
4.8,132.71037,121.88165,132.59523,132.71043,132.94083,dx/dt = t*t*t,pow(t,4)/4
5.0,156.24994,144.00005,156.12503,156.25003,156.50002,dx/dt = t*t*t,pow(t,4)/4
5.2000003,182.79031,169.00005,182.65523,182.79042,183.06081,dx/dt = t*t*t,pow(t,4)/4
5.4,212.57626,197.12163,212.43062,212.57642,212.86800,dx/dt = t*t*t,pow(t,4)/4
5.6,245.86221,228.61441,245.70560,245.86240,246.17598,dx/dt = t*t*t,pow(t,4)/4
5.8,282.91217,263.73758,282.74417,282.91238,283.24875,dx/dt = t*t*t,pow(t,4)/4
6.0,323.99969,302.75995,323.81995,323.99997,324.35992,dx/dt = t*t*t,pow(t,4)/4
6.2000003,369.40802,345.95993,369.21613,369.40833,369.79269,dx/dt = t*t*t,pow(t,4)/4
6.4,419.42993,393.62549,419.22549,419.43030,419.83984,dx/dt = t*t*t,pow(t,4)/4
6.6,474.36783,446.05423,474.15045,474.36826,474.80380,dx/dt = t*t*t,pow(t,4)/4
6.8,534.53369,503.55338,534.30298,534.53418,534.99658,dx/dt = t*t*t,pow(t,4)/4
7.0,600.24921,566.43970,600.00470,600.24969,600.73975,dx/dt = t*t*t,pow(t,4)/4
7.2000003,671.84546,635.03961,671.58685,671.84601,672.36444,dx/dt = t*t*t,pow(t,4)/4
7.4,749.66327,709.68915,749.39014,749.66394,750.21155,dx/dt = t*t*t,pow(t,4)/4
7.6,834.05310,790.73389,833.76501,834.05383,834.63147,dx/dt = t*t*t,pow(t,4)/4
7.8,925.37488,878.52899,925.07153,925.37573,925.98413,dx/dt = t*t*t,pow(t,4)/4
