t,x,dxdt,method
0.0,0.0,dx/dt = sin(t) + t*cos(t),actual
1.0,0.84147,dx/dt = sin(t) + t*cos(t),actual
2.0,1.81859,dx/dt = sin(t) + t*cos(t),actual
3.0,0.42336,dx/dt = sin(t) + t*cos(t),actual
4.0,-3.02721,dx/dt = sin(t) + t*cos(t),actual
5.0,-4.79462,dx/dt = sin(t) + t*cos(t),actual
6.0,-1.67649,dx/dt = sin(t) + t*cos(t),actual
7.0,4.59891,dx/dt = sin(t) + t*cos(t),actual
8.0,7.91487,dx/dt = sin(t) + t*cos(t),actual
9.0,3.70907,dx/dt = sin(t) + t*cos(t),actual
10.0,-5.44021,dx/dt = sin(t) + t*cos(t),actual
11.0,-10.99989,dx/dt = sin(t) + t*cos(t),actual
12.0,-6.43888,dx/dt = sin(t) + t*cos(t),actual
13.0,5.46217,dx/dt = sin(t) + t*cos(t),actual
14.0,13.86850,dx/dt = sin(t) + t*cos(t),actual
15.0,9.75432,dx/dt = sin(t) + t*cos(t),actual
16.0,-4.60645,dx/dt = sin(t) + t*cos(t),actual
17.0,-16.34376,dx/dt = sin(t) + t*cos(t),actual
18.0,-13.51777,dx/dt = sin(t) + t*cos(t),actual
19.0,2.84767,dx/dt = sin(t) + t*cos(t),actual
20.0,18.25891,dx/dt = sin(t) + t*cos(t),actual
0.0,0.00000,dx/dt = sin(t) + t*cos(t),eulerian
1.0,0.00000,dx/dt = sin(t) + t*cos(t),eulerian
2.0,1.38177,dx/dt = sin(t) + t*cos(t),eulerian
3.0,1.45878,dx/dt = sin(t) + t*cos(t),eulerian
4.0,-1.37008,dx/dt = sin(t) + t*cos(t),eulerian
5.0,-4.74146,dx/dt = sin(t) + t*cos(t),eulerian
6.0,-4.28207,dx/dt = sin(t) + t*cos(t),eulerian
7.0,1.19954,dx/dt = sin(t) + t*cos(t),eulerian
8.0,7.13384,dx/dt = sin(t) + t*cos(t),eulerian
9.0,6.95920,dx/dt = sin(t) + t*cos(t),eulerian
10.0,-0.82886,dx/dt = sin(t) + t*cos(t),eulerian
11.0,-9.76359,dx/dt = sin(t) + t*cos(t),eulerian
12.0,-10.71490,dx/dt = sin(t) + t*cos(t),eulerian
13.0,-1.12523,dx/dt = sin(t) + t*cos(t),eulerian
14.0,11.09175,dx/dt = sin(t) + t*cos(t),eulerian
15.0,13.99668,dx/dt = sin(t) + t*cos(t),eulerian
16.0,3.25164,dx/dt = sin(t) + t*cos(t),eulerian
17.0,-12.35881,dx/dt = sin(t) + t*cos(t),eulerian
18.0,-17.99799,dx/dt = sin(t) + t*cos(t),eulerian
19.0,-6.86327,dx/dt = sin(t) + t*cos(t),eulerian
20.0,12.07199,dx/dt = sin(t) + t*cos(t),eulerian
0.0,0.00000,dx/dt = sin(t) + t*cos(t),minpoint
1.0,0.91822,dx/dt = sin(t) + t*cos(t),minpoint
2.0,2.02182,dx/dt = sin(t) + t*cos(t),minpoint
3.0,0.61743,dx/dt = sin(t) + t*cos(t),minpoint
4.0,-3.01095,dx/dt = sin(t) + t*cos(t),minpoint
5.0,-4.93706,dx/dt = sin(t) + t*cos(t),minpoint
6.0,-1.74492,dx/dt = sin(t) + t*cos(t),minpoint
7.0,4.81802,dx/dt = sin(t) + t*cos(t),minpoint
8.0,8.35579,dx/dt = sin(t) + t*cos(t),minpoint
9.0,4.03717,dx/dt = sin(t) + t*cos(t),minpoint
10.0,-5.51112,dx/dt = sin(t) + t*cos(t),minpoint
11.0,-11.38395,dx/dt = sin(t) + t*cos(t),minpoint
12.0,-6.70140,dx/dt = sin(t) + t*cos(t),minpoint
