t,x,dxdt,method
0.0,0.0,dx/dt = sin(t) + t*cos(t),actual
1.0,0.84147,dx/dt = sin(t) + t*cos(t),actual
2.0,1.81859,dx/dt = sin(t) + t*cos(t),actual
3.0,0.42336,dx/dt = sin(t) + t*cos(t),actual
4.0,-3.02721,dx/dt = sin(t) + t*cos(t),actual
5.0,-4.79462,dx/dt = sin(t) + t*cos(t),actual
6.0,-1.67649,dx/dt = sin(t) + t*cos(t),actual
7.0,4.59891,dx/dt = sin(t) + t*cos(t),actual
8.0,7.91487,dx/dt = sin(t) + t*cos(t),actual
9.0,3.70907,dx/dt = sin(t) + t*cos(t),actual
10.0,-5.44021,dx/dt = sin(t) + t*cos(t),actual
11.0,-10.99989,dx/dt = sin(t) + t*cos(t),actual
12.0,-6.43888,dx/dt = sin(t) + t*cos(t),actual
13.0,5.46217,dx/dt = sin(t) + t*cos(t),actual
14.0,13.86850,dx/dt = sin(t) + t*cos(t),actual
15.0,9.75432,dx/dt = sin(t) + t*cos(t),actual
16.0,-4.60645,dx/dt = sin(t) + t*cos(t),actual
17.0,-16.34376,dx/dt = sin(t) + t*cos(t),actual
18.0,-13.51777,dx/dt = sin(t) + t*cos(t),actual
19.0,2.84767,dx/dt = sin(t) + t*cos(t),actual
20.0,18.25891,dx/dt = sin(t) + t*cos(t),actual
0.0,1.00000,dx/dt = sin(t) + t*cos(t),eulerian
1.0,1.00000,dx/dt = sin(t) + t*cos(t),eulerian
2.0,2.38177,dx/dt = sin(t) + t*cos(t),eulerian
3.0,2.45878,dx/dt = sin(t) + t*cos(t),eulerian
4.0,-0.37008,dx/dt = sin(t) + t*cos(t),eulerian
5.0,-3.74146,dx/dt = sin(t) + t*cos(t),eulerian
6.0,-3.28207,dx/dt = sin(t) + t*cos(t),eulerian
7.0,2.19954,dx/dt = sin(t) + t*cos(t),eulerian
8.0,8.13384,dx/dt = sin(t) + t*cos(t),eulerian
9.0,7.95920,dx/dt = sin(t) + t*cos(t),eulerian
10.0,0.17114,dx/dt = sin(t) + t*cos(t),eulerian
11.0,-8.76359,dx/dt = sin(t) + t*cos(t),eulerian
12.0,-9.71490,dx/dt = sin(t) + t*cos(t),eulerian
13.0,-0.12523,dx/dt = sin(t) + t*cos(t),eulerian
14.0,12.09175,dx/dt = sin(t) + t*cos(t),eulerian
15.0,14.99668,dx/dt = sin(t) + t*cos(t),eulerian
16.0,4.25164,dx/dt = sin(t) + t*cos(t),eulerian
17.0,-11.35881,dx/dt = sin(t) + t*cos(t),eulerian
18.0,-16.99799,dx/dt = sin(t) + t*cos(t),eulerian
19.0,-5.86327,dx/dt = sin(t) + t*cos(t),eulerian
20.0,13.07199,dx/dt = sin(t) + t*cos(t),eulerian
0.0,1.00000,dx/dt = sin(t) + t*cos(t),minpoint
1.0,1.91822,dx/dt = sin(t) + t*cos(t),minpoint
2.0,3.02182,dx/dt = sin(t) + t*cos(t),minpoint
3.0,1.61743,dx/dt = sin(t) + t*cos(t),minpoint
4.0,-2.01095,dx/dt = sin(t) + t*cos(t),minpoint
5.0,-3.93706,dx/dt = sin(t) + t*cos(t),minpoint
6.0,-0.74492,dx/dt = sin(t) + t*cos(t),minpoint
7.0,5.81802,dx/dt = sin(t) + t*cos(t),minpoint
8.0,9.35579,dx/dt = sin(t) + t*cos(t),minpoint
9.0,5.03717,dx/dt = sin(t) + t*cos(t),minpoint
10.0,-4.51112,dx/dt = sin(t) + t*cos(t),minpoint
11.0,-10.38395,dx/dt = sin(t) + t*cos(t),minpoint
12.0,-5.70140,dx/dt = sin(t) + t*cos(t),minpoint
